Timestamp,Puzzle_Date,Model,Prompt_Type,Correct,Accuracy,Parse_Error
2025-04-30 23:10:57,2025-02-05,o3,cot,Yes,4,No
2025-04-30 23:11:51,2025-02-06,o3,zero-shot,Yes,4,No
2025-04-30 23:12:43,2025-02-06,o3,few-shot,Yes,4,No
2025-04-30 23:13:20,2025-02-06,o3,cot,Yes,4,No
2025-04-30 23:14:32,2025-02-07,o3,zero-shot,Yes,4,No
2025-04-30 23:16:14,2025-02-07,o3,few-shot,Yes,4,No
2025-04-30 23:17:04,2025-02-07,o3,cot,Yes,4,No
2025-04-30 23:17:37,2025-02-08,o3,zero-shot,Yes,4,No
2025-04-30 23:21:07,2025-02-08,o3,few-shot,Yes,4,No
2025-04-30 23:23:59,2025-02-08,o3,cot,Yes,4,No
2025-04-30 23:24:08,2025-02-09,o3,zero-shot,Yes,4,No
2025-04-30 23:24:44,2025-02-09,o3,few-shot,Yes,4,No
2025-04-30 23:24:59,2025-02-09,o3,cot,Yes,4,No
2025-04-30 23:26:48,2025-02-10,o3,zero-shot,Yes,4,No
2025-04-30 23:27:26,2025-02-10,o3,few-shot,Yes,4,No
2025-04-30 23:30:01,2025-02-10,o3,cot,Yes,4,No
2025-04-30 23:43:10,2025-02-11,o3,zero-shot,Yes,4,No
2025-04-30 23:44:03,2025-02-11,o3,few-shot,Yes,4,No
2025-04-30 23:45:00,2025-02-11,o3,cot,Yes,4,No
2025-04-30 23:51:56,2025-02-12,o3,zero-shot,Yes,4,No
2025-04-30 23:53:27,2025-02-12,o3,few-shot,Yes,4,No
2025-04-30 23:54:04,2025-02-12,o3,cot,Yes,4,No
2025-04-30 23:54:45,2025-02-13,o3,zero-shot,Yes,4,No
2025-04-30 23:55:53,2025-02-13,o3,few-shot,Yes,4,No
2025-04-30 23:56:33,2025-02-13,o3,cot,Yes,4,No
2025-04-30 23:57:47,2025-02-14,o3,zero-shot,Yes,4,No
2025-05-01 00:07:06,2025-02-14,o3,few-shot,Yes,4,No
2025-05-01 00:07:57,2025-02-14,o3,cot,Yes,4,No
2025-05-01 00:08:41,2025-02-15,o3,zero-shot,Yes,4,No
2025-05-01 00:09:45,2025-02-15,o3,few-shot,Yes,4,No
2025-05-01 00:10:16,2025-02-15,o3,cot,Yes,4,No
2025-05-01 00:11:39,2025-02-16,o3,zero-shot,Yes,4,No
2025-05-01 00:12:14,2025-02-16,o3,few-shot,Yes,4,No
2025-05-01 00:13:22,2025-02-16,o3,cot,Yes,4,No
2025-05-01 00:14:10,2025-02-17,o3,zero-shot,Yes,4,No
2025-05-01 00:15:08,2025-02-17,o3,few-shot,Yes,4,No
2025-05-01 00:15:30,2025-02-17,o3,cot,Yes,4,No
2025-05-01 00:16:28,2025-02-18,o3,zero-shot,Yes,4,No
2025-05-01 00:19:49,2025-02-18,o3,few-shot,Yes,4,No
2025-05-01 00:21:10,2025-02-18,o3,cot,Yes,4,No
2025-05-01 00:22:12,2025-02-19,o3,zero-shot,Yes,4,No
2025-05-01 00:22:36,2025-02-19,o3,few-shot,Yes,4,No
2025-05-01 00:23:13,2025-02-19,o3,cot,Yes,4,No
2025-05-01 00:24:21,2025-02-20,o3,zero-shot,Yes,4,No
2025-05-01 00:26:52,2025-02-20,o3,few-shot,Yes,4,No
2025-05-01 00:39:02,2025-02-20,o3,cot,Yes,4,No
2025-05-01 00:41:24,2025-02-21,o3,zero-shot,Yes,4,No
2025-05-01 00:43:02,2025-02-21,o3,few-shot,Yes,4,No
2025-05-01 00:46:15,2025-02-21,o3,cot,Yes,4,No
2025-05-01 00:47:17,2025-02-22,o3,zero-shot,Yes,4,No
2025-05-01 00:48:14,2025-02-22,o3,few-shot,Yes,4,No
2025-05-01 00:48:57,2025-02-22,o3,cot,Yes,4,No
2025-05-01 00:49:19,2025-02-23,o3,zero-shot,Yes,4,No
2025-05-01 00:51:19,2025-02-23,o3,few-shot,Yes,4,No
2025-05-01 00:53:04,2025-02-23,o3,cot,Yes,4,No
2025-05-01 00:55:38,2025-02-24,o3,zero-shot,Yes,4,No
2025-05-01 00:57:54,2025-02-24,o3,few-shot,Yes,4,No
2025-05-01 00:59:48,2025-02-24,o3,cot,Yes,4,No
