Timestamp,Puzzle_Date,Model,Prompt_Type,Correct,Accuracy,Parse_Error,Token_Count,Thinking_Time_Sec
2025-05-04 19:31:25,2025-04-23,o3,zero-shot,Yes,4,No,1077,20.885099172592163
2025-05-04 19:31:41,2025-04-23,o3,few-shot,Yes,4,No,1088,16.17842411994934
2025-05-04 19:31:53,2025-04-23,o3,cot,Yes,4,No,775,12.45722508430481
2025-05-04 19:47:11,2025-04-24,o3,zero-shot,Yes,4,No,12185,917.3229866027832
2025-05-04 20:02:17,2025-04-24,o3,few-shot,Yes,4,No,10853,906.1205408573151
2025-05-04 20:11:45,2025-04-24,o3,cot,Yes,4,No,19947,568.3034591674805
2025-05-04 20:13:08,2025-04-25,o3,zero-shot,Yes,4,No,2599,82.81932806968689
2025-05-04 20:13:44,2025-04-25,o3,few-shot,Yes,4,No,2034,36.09042501449585
2025-05-04 20:14:25,2025-04-25,o3,cot,Yes,4,No,1849,40.902991771698
2025-05-04 20:15:23,2025-04-26,o3,zero-shot,Yes,4,No,1915,58.34648609161377
2025-05-04 20:17:49,2025-04-26,o3,few-shot,Yes,4,No,4934,145.88967275619507
2025-05-04 20:19:02,2025-04-26,o3,cot,Yes,4,No,2125,73.41774487495422
2025-05-04 20:19:57,2025-04-27,o3,zero-shot,Yes,4,No,1987,54.43819999694824
2025-05-04 20:20:19,2025-04-27,o3,few-shot,Yes,4,No,1231,22.27070379257202
2025-05-04 20:21:19,2025-04-27,o3,cot,Yes,4,No,2261,59.819912910461426
2025-05-04 20:22:01,2025-04-28,o3,zero-shot,Yes,4,No,1731,42.395617961883545
2025-05-04 20:22:28,2025-04-28,o3,few-shot,Yes,4,No,1550,27.098443031311035
2025-05-04 20:23:00,2025-04-28,o3,cot,Yes,4,No,1365,31.824941158294678
2025-05-04 20:25:07,2025-04-29,o3,zero-shot,Yes,4,No,6921,126.32989311218262
2025-05-04 20:26:31,2025-04-29,o3,few-shot,Yes,4,No,3733,84.46107316017151
2025-05-04 20:28:11,2025-04-29,o3,cot,Yes,4,No,3931,99.57129406929016
2025-05-04 20:42:57,2025-04-30,o3,zero-shot,Yes,4,No,10369,886.7124648094177
2025-05-04 21:00:41,2025-04-30,o3,few-shot,Yes,4,No,19277,1063.8654778003693
2025-05-04 21:03:54,2025-04-30,o3,cot,Yes,4,No,7828,192.71377205848694
2025-05-04 21:06:43,2025-05-01,o3,zero-shot,Yes,4,No,5493,169.4415202140808
2025-05-04 21:08:03,2025-05-01,o3,few-shot,Yes,4,No,4097,79.18061804771423
2025-05-04 21:10:20,2025-05-01,o3,cot,Yes,4,No,5767,137.31831789016724
2025-05-04 21:11:36,2025-05-02,o3,zero-shot,Yes,4,No,3831,76.08515405654907
2025-05-04 21:14:00,2025-05-02,o3,few-shot,Yes,4,No,5826,144.0631070137024
2025-05-04 21:15:59,2025-05-02,o3,cot,Yes,4,No,4297,119.38123488426208
2025-05-04 21:22:07,2025-05-03,o3,zero-shot,No,2,No,9911,367.63129019737244
2025-05-04 21:31:34,2025-05-03,o3,few-shot,No,1,No,23041,567.0162088871002
2025-05-04 21:39:48,2025-05-03,o3,cot,Yes,4,No,19911,494.0356957912445
